word	desc	example
the	o, a, os, as		
of	de		
to	para		
and	e		
a	um, uma	<b>the&nbsp;book</b> is on the table	
in	em, dentro		
is	é		
it	este		
you	você		
that	que, aquele		
he	ele		
was	era, estava		
for	por, para		
on	em		
are	são, estão		
with	com		
as	como, enquanto		
I	eu		
his	seu		
they	eles		
be	ser, estar		
at	em		
one	um		
have	ter		
this	este		
from	de		
or	ou		
had	tinha		
by	por, em		
hot	quente		
word	palavra		
but	mas		
what	o-que		
some	algum		
we	nós		
can	pode, lata		
out	fora		
other	outro		
were	eram, estavam		
all	todo		
there	lá		
when	quando		
up	para-cima		
use	usar		
your	seu		
how	como, quão		
said	disse		
an	um, uma		
each	cada		
she	ela		
which	qual		
do	fazer, mesmo		
their	seus		
time	tempo, hora		
if	se		
will	vai, vontade		
way	caminho, jeito		
about	sobre, quase		
many	muitos		
then	então		
them	deles		
write	escrever		
would	deveria		
like	como, gostar		
so	assim, tão		
these	estes		
her	dela		
long	longo		
make	fazer		
thing	coisa		
see	ver		
him	dele		
two	dois, duas		
has	tem		
look	olhar		
more	mais		
day	dia		
could	poderia		
go	ir		
come	vir		
did	fez, mesmo		
number	número		
sound	som		
no	não		
most	mais, maior		
people	pessoas, povo		
my	meu		
over	sobre, acima-de		
know	saber		
water	água		
than	que		
call	chamar		
first	primeiro		
who	quem		
may	maio, pode		
down	baixo		
side	lado		
been	sido, estado		
now	agora		
find	encontrar		
open	aberto		
seem	parecer		
together	juntos		
next	próximo		
white	branco		
children	crianças		
begin	começar		
got	ficado		
walk	andar		
example	exemplo		
ease	facilitar		
paper	papel		
group	grupo		
always	sempre		
music	música		
those	aqueles		
both	ambos		
mark	marcar		
often	muitas-vezes		
letter	letra, carta		
until	até		
mile	milha		
river	rio		
car	carro		
feet	pés		
care	cuidado		
second	segundo		
book	livro		
carry	carregar		
took	pego		
science	ciência		
eat	comer		
room	cômodo, quarto		
friend	amigo		
sight	visão		
began	começado		
idea	idéia		
fish	peixe, pescar		
mountain	montanha		
stop	parar		
once	uma-vez		
base	base		
hear	ouvir		
horse	cavalo		
cut	cortar		
sure	certo		
watch	assistir, relógio		
color	cor, colorir		
face	rosto		
grand	grandioso		
ball	bola		
yet	ainda, já		
wave	onda		
drop	gota, queda		
heart	coração		
am	sou, estou		
present	presente		
heavy	pesado		
dance	dança		
engine	motor		
position	posição		
arm	braço		
wide	amplo		
sail	vela(navio)		
material	material		
size	tamanho		
vary	variar		
settle	estabelecer		
speak	falar		
weight	peso		
general	general, geral		
ice	gelo		
matter	matéria, importar-se		
circle	círculo		
pair	par		
include	incluir		
divide	dividir		
syllable	sílaba		
felt	sentido		
perhaps	talvez		
pick	escolher, apanhar		
sudden	imprevisto		
count	contar, contagem, conde		
square	quadrado, praça		
reason	razão		
length	comprimento		
represent	representar		
art	arte		
subject	sujeito, assunto		
region	região		
energy	energia		
hunt	caçar		
probable	provável		
bed	cama		
brother	irmão		
egg	ovo		
ride	passeio		
cell	cela, célula		
believe	acreditar		
gentle	gentil		
woman	mulher		
captain	capitão		
practice	prática		
separate	separado		
difficult	difícil		
doctor	doutor		
please	por-favor, agradar		
protect	proteger		
noon	meio-dia		
whose	cujo		
locate	localizar		
ring	anel, tocar		
character	caráter, personagem		
insect	inseto		
caught	pego		
period	período		
indicate	indicar		
radio	rádio		
spoke	falado, raio		
atom	átomo		
human	humano		
history	história		
effect	efeito		
electric	elétrico		
expect	esperar		
crop	colheita		
modern	moderno		
element	elemento		
hit	acertar		
student	estudante		
corner	esquina		
party	partido, festa		
supply	suprir		
bone	osso		
rail	grade, trilho		
imagine	imaginar		
provide	fornecer		
agree	concordar		
thus	assim		
capital	capital		
won't	não-vai		
chair	cadeira		
danger	perigo		
fruit	fruta		
rich	rico		
thick	grosso		
soldier	soldado		
process	processo		
operate	operar		
main	principal		
enough	bastante, suficiente 		
plain	plano, simples		
girl	garota		
usual	usual, comum		
young	jovem		
ready	pronto		
above	acima		
ever	sempre, já		
red	vermelho		
list	lista		
though	apesar-de		
feel	sentir, sentimendo		
talk	conversar		
bird	pássaro		
soon	logo		
body	corpo		
dog	cachorro		
family	família		
direct	direto		
pose	posição		
leave	deixar		
song	canção		
measure	medida		
door	porta		
product	produto		
black	negro		
short	curto		
numeral	numeral		
class	classe		
wind	vento		
question	questão, pergunta		
happen	acontecer		
complete	completo		
ship	navio, embarcar		
area	área		
half	metade		
rock	roque, rocha		
order	ordem, pedido		
fire	fogo, incêndio, despedir		
south	sul		
problem	problema		
piece	peça, pedaço		
told	contado		
knew	sabido		
pass	passar		
since	desde		
top	topo, principal		
whole	inteiro		
king	rei		
fraction	fração		
forest	floresta		
sit	sentar		
race	raça, corrida		
window	janela		
store	armazém		
summer	verão		
train	trem, treinar		
sleep	dormir		
prove	provar		
lone	só		
leg	perna		
exercise	exercício		
wall	parede		
catch	pegar		
mount	monte, montar		
wish	desejo		
sky	céu		
board	quadro		
joy	alegria		
winter	inverno		
sat	sentado		
written	escrito		
wild	selvagem		
instrument	instrumento		
kept	guardado		
glass	vidro		
grass	grama		
cow	vaca		
job	trabalho, jó		
edge	canto, beira		
sign	sinal		
visit	visita		
past	passado		
soft	macio		
fun	alegria		
bright	claro		
gas	gás, gasolina		
weather	tempo		
month	mês		
million	milhão		
bear	urso, carregar		
finish	fim, finalizar		
happy	feliz		
hope	esperança		
flower	flor		
clothe	vestir		
strange	estranho		
gone	ido		
jump	pular		
guess	adivinhar		
necessary	necessário		
sharp	agudo, sustenido		
wing	asa		
create	criar		
neighbor	vizinho		
wash	lavar		
bat	morcego, bastão		
rather	de-preferência, em vez		
crowd	multidão		
corn	milho		
compare	comparar		
poem	poema		
string	corda		
bell	sino		
depend	depender		
meat	carne		
rub	esfregar		
tube	tubo, tv		
famous	famoso		
stream	corrente		
fear	medo, temer		
thin	fino, magro		
triangle	triângulo		
planet	planeta		
hurry	pressa		
chief	chefe		
clock	relógio		
mine	meu, mina		
tie	amarrar		
enter	entrar		
major	maior, major		
fresh	fresco		
search	buscar		
send	enviar		
yellow	amarelo		
gun	arma		
rose	rosa, levantado		
allow	permitir		
print	imprimir		
dead	morto		
spot	ponto		
desert	deserto		
suit	terno		
current	atual		
lift	levantar, elevador		
continue	continuar		
block	bloco		
chart	gráfico		
hat	chapéu		
any	qualquer		
new	novo		
work	trabalho		
part	parte		
take	pegar		
get	ficar		
place	lugar		
made	feito		
live	viver, vivo		
where	onde		
after	após		
back	atrás, costas		
little	pequeno, pouco		
only	somente		
round	redondo, rodada		
man	homem		
year	ano		
came	chegado		
show	mostrar		
every	cada		
good	bom		
me	me, eu		
give	dar		
our	nosso		
under	sob		
name	nome		
very	muito, absoluto		
through	através-de		
just	justo, só		
form	forma, formulário		
sentence	sentença		
great	ótimo, excelente, grande		
think	pensar		
say	dizer		
help	ajudar		
low	baixo		
line	linha, fila		
differ	diferir		
turn	tornar, vez		
cause	causa		
much	muito		
mean	meio, significar		
before	antes		
move	movimento		
right	direito		
boy	garoto		
old	velho		
too	também		
same	mesmo		
tell	contar		
space	espaço		
heard	ouvido		
best	melhor		
hour	hora		
better	melhor		
true	VERDADEIRO		
during	durante		
hundred	cem		
five	cinco		
remember	lembrar		
step	passo		
early	cedo		
hold	guardar		
west	oeste		
